Threshold,Precision,Recall,F1
3.4928322e-05,0.5199173520454027,1.0,0.6841389736422682
3.504753e-05,0.5209728160038719,1.0,0.6850521023082968
3.516674e-05,0.5216671378377287,1.0,0.685652100170542
3.528595e-05,0.5231178368454446,1.0,0.6869039555000723
3.540516e-05,0.5241154512010388,1.0,0.6877634464622824
3.552437e-05,0.5261149955875365,1.0,0.6894827633058864
3.5643578e-05,0.5267013714270181,1.0,0.6899861070862552
3.5762787e-05,0.5272747064346264,1.0,0.690477882938483
3.5881996e-05,0.527993132860082,1.0,0.6910935894277508
3.6001205e-05,0.5290600040958428,1.0,0.6920068528620629
3.6120415e-05,0.5302762839197012,1.0,0.6930464596840008
3.6239624e-05,0.5322135391630386,1.0,0.6946989072818951
3.6358833e-05,0.5327403456192689,1.0,0.6951475423298649
3.6478043e-05,0.5337970934637372,1.0,0.6960465530392203
3.6597252e-05,0.535345720798508,1.0,0.6973617864167747
3.671646e-05,0.5360789087790166,1.0,0.6979835504872755
3.683567e-05,0.5367769281914894,1.0,0.6985749393443911
3.695488e-05,0.5379169616457752,1.0,0.699539665096657
3.707409e-05,0.5385973202868739,1.0,0.7001147209665983
3.71933e-05,0.5394971320376455,1.0,0.700874483370042
3.7312508e-05,0.5403095370886782,1.0,0.701559680792619
3.7431717e-05,0.5417522962714424,1.0,0.702774750610376
3.7550926e-05,0.543278936742934,1.0,0.7040579901507964
3.7670135e-05,0.5441791883162477,1.0,0.70481352023083
3.7789345e-05,0.5448831519446553,1.0,0.7054037034862517
3.7908554e-05,0.5453125439756832,1.0,0.7057634296346552
3.8027763e-05,0.5462580526931589,1.0,0.7065548317875564
3.8146973e-05,0.5475780013565453,1.0,0.7076580273669827
3.8266182e-05,0.548445991847826,1.0,0.7083824572420895
3.838539e-05,0.5489432230281052,1.0,0.7087970834863316
3.85046e-05,0.5502918246495974,1.0,0.7099203031975929
3.862381e-05,0.5511684469540729,1.0,0.7106493746480198
3.874302e-05,0.5519299245121777,1.0,0.7112820137536264
3.886223e-05,0.5527171587505348,1.0,0.7119353992785488
3.8981438e-05,0.5533959785216497,1.0,0.7124982716716177
3.9100647e-05,0.5538943125455611,1.0,0.7129111735709049
3.9219856e-05,0.5551639661322904,1.0,0.7139619675514721
3.9339066e-05,0.5564634251414458,1.0,0.7150356540060658
3.9458275e-05,0.5575202140822375,1.0,0.7159075117766179
3.9577484e-05,0.5585407688205365,1.0,0.7167483538585699
3.9696693e-05,0.5595650667128748,1.0,0.7175911734216065
3.9815903e-05,0.5605525820917112,1.0,0.7184026798358212
3.9935112e-05,0.5613727563777543,1.0,0.719075890736956
4.005432e-05,0.5623911529083943,1.0,0.7199108216427723
4.017353e-05,0.5631512403540132,1.0,0.7205332692232747
4.029274e-05,0.5639790423519139,1.0,0.7212104810531847
4.041195e-05,0.564998687778847,1.0,0.7220436522800073
4.053116e-05,0.5658154102238381,1.0,0.7227102286972663
4.0650368e-05,0.5663943172018651,1.0,0.7231822886049976
4.0769577e-05,0.5672565983048614,1.0,0.7238847745786875
4.0888786e-05,0.5678051782495934,1.0,0.7243312912920393
4.1007996e-05,0.5686801091837633,1.0,0.7250427951871623
4.1127205e-05,0.5696414658885443,1.0,0.7258236669186905
4.1246414e-05,0.5706648994919372,1.0,0.7266539107651295
4.1365623e-05,0.5713295786276649,1.0,0.7271925416062976
4.1484833e-05,0.5721478244179008,1.0,0.7278549916137406
4.1604042e-05,0.5728328997161779,1.0,0.7284090969581087
4.172325e-05,0.5735535722214822,1.0,0.7289914734416116
